Sps,lon,lat,Source,Lon_dd,Lat_dd,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,NEAR_ANGLE,RASTERVALU
Aatl,-51.39,43.24,OBIS, , ,1406263,3723.16808012,-51.375,43.2083333333,160.888813608,2
Aatl,-65.4618,49.9715,OBIS, , ,1245679,1485.47828428,-65.4583333333,49.9583333333,170.359757627,2
Aatl,-59.45,56.22,OBIS, , ,1107157,1398.15575338,-59.4583333333,56.2083333333,-158.292247437,2
Aatl,-62.77525,47.7815,OBIS, , ,1294229,1670.64100559,-62.7916666667,47.7916666667,-47.4136737162,2
Aatl,-63.46884,47.18259,OBIS, , ,1307449,2970.68605306,-63.4583333333,47.2083333333,15.5420815024,2
Aatl,-59.46666667,64.01666667,OBIS, , ,946593,2816.55555618,-59.4583333333,64.0416666667,8.31172061362,2
Aatl,-57.0742,51.2275,OBIS, , ,1218431,3116.66871876,-57.0416666667,51.2083333333,133.157869457,2
Aatl,-53.67,50.23,OBIS, , ,1240076,3645.96894388,-53.7083333333,50.2083333333,-131.362897099,2
Aatl,-54.96,50.71,OBIS, , ,1229081,219.622964732,-54.9583333333,50.7083333333,147.585093018,2
Aatl,-62.59709,47.2775,OBIS, , ,1305551,2634.14862219,-62.625,47.2916666667,-53.26898042,2
Aatl,-58.522,50.1062,OBIS, , ,1241935,2520.22150032,-58.5416666667,50.125,-33.9196146878,2
Aatl,-59.991389,48.901111,OBIS, , ,1270249,3782.62527388,-59.9583333333,48.875,140.131074053,2
Aatl,-62.8435,48.399,OBIS, , ,1281313,3544.77137064,-62.875,48.375,-138.827732324,2
Aatl,-59.328056,49.316389,OBIS, , ,1260916,3816.200661,-59.2916666667,49.2916666667,136.080618802,2
Aatl,-62.84242,46.75425,OBIS, , ,1317080,4846.98738704,-62.875,46.7916666667,-30.8778474832,2
Aatl,-64.10017,44.02192,OBIS, , ,1384257,2962.43611638,-64.125,44.0416666667,-42.2051225189,2
Aatl,-51.47,44.81,OBIS, , ,1365272,2236.69722515,-51.4583333333,44.7916666667,155.622004805,2
Aatl,-54.05,45.23,OBIS, , ,1355033,2495.3247257,-54.0416666667,45.2083333333,164.789902619,2
Aatl,-61.0067,49.6492,OBIS, , ,1253342,3691.08948366,-61.0416666667,49.625,-136.806758708,2
Aatl,-60.33,47.25,OBIS, , ,1305579,5465.59270742,-60.2916666667,47.2916666667,32.040226579,2
Aatl,-62.208,48.284,OBIS, , ,1283167,852.860848003,-62.2083333333,48.2916666667,-1.66191930989,2
Aatl,-58.872,49.4148,OBIS, , ,1259038,4431.80564985,-58.875,49.375,-177.182266916,2
Aatl,-48.42,47.28,OBIS, , ,1305706,3176.75163938,-48.4583333333,47.2916666667,-65.8880184998,2
Aatl,-57.67,50.71,OBIS, , ,1229059,2714.03870218,-57.7083333333,50.7083333333,-93.9022711793,2
Aatl,-59.1778,49.8492,OBIS, , ,1247666,3613.09707232,-59.2083333333,49.875,-37.4054520353,2
Aatl,-59.4417,49.9722,OBIS, , ,1245751,1950.15272817,-59.4583333333,49.9583333333,-142.262910465,2
Aatl,-62.95792,48.29542,OBIS, , ,1283158,418.481144822,-62.9583333333,48.2916666667,-175.796969173,2
Aatl,-60.62,48.91,OBIS, , ,1270241,3909.49850485,-60.625,48.875,-174.616820621,2
Aatl,-67.19583,42.07684,OBIS, , ,1437782,4041.6159844,-67.2083333333,42.0416666667,-165.158631584,2
Aatl,-64.609,49.686,OBIS, , ,1251411,2739.09492589,-64.625,49.7083333333,-24.918449234,2
