Sps,longitude,latitude,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,RASTERVALU
Dcon,-7.052105,62.252848,974149,4360.16639135,-7.04166666667,62.2916666667,1
Dcon,10.62497,59.66343,1024596,4281.34135045,10.625,59.625,1
Dcon,7.81929,58.07123,1062910,3674.47753736,7.79166666667,58.0416666667,1
Dcon,10.49105,55.536356,1124239,2148.47188893,10.4583333333,55.5416666667,1
Dcon,8.73932,58.36835,1054573,1958.75465756,8.70833333333,58.375,1
Dcon,8.27866,58.1573,1060813,3678.24244837,8.29166666667,58.125,1
Dcon,11.92,55.93,1114110,3960.89566437,11.9583333333,55.9583333333,1
Dcon,-62.75,45.95,1336798,3360.47504383,-62.7083333333,45.9583333333,1
Dcon,3.8528,51.7333,1208425,3173.3147647,3.875,51.7083333333,1
Dcon,-152.472222,57.705556,1070098,883.867217125,-152.458333333,57.7083333333,1
Dcon,-151.45,59.616667,1023353,1040.6805159,-151.458333333,59.625,1
Dcon,-133.141667,55.458333,1125342,1054.39761651,-133.125,55.4583333333,1
Dcon,-149.433333,60.070833,1013986,3535.36785429,-149.458333333,60.0416666667,1
Dcon,-162.466667,54.983333,1137149,2833.7478032,-162.458333333,54.9583333333,1
Dcon,-146.333333,61.133333,992883,2429.73030426,-146.291666667,61.125,1
Dcon,-146.65,61.083333,992879,4834.78405763,-146.625,61.125,1
Dcon,-161.666667,58.55,1049185,2597.74287821,-161.708333333,58.5416666667,1
Dcon,14.485217,67.332153,904404,4661.31970457,14.4583333333,67.2916666667,1
Dcon,-52.922222,47.676111,1296156,4492.62156848,-52.9583333333,47.7083333333,1
Dcon,9.53916,63.68036,952153,3120.7242557,9.54166666667,63.7083333333,1
Dcon,12.63106,56.10935,1110010,1782.83940871,12.625,56.125,1
Dcon,11.221439,58.694298,1046396,1738.23094675,11.2083333333,58.7083333333,1
Dcon,11.44486,58.24867,1058760,4561.97606138,11.4583333333,58.2083333333,1
Dcon,12.72264,55.90517,1116166,3476.35210667,12.7083333333,55.875,1
Dcon,-3.226864,51.193095,1219069,2133.43547649,-3.20833333333,51.2083333333,1
