Sps,decimalLon,decimalLat,Field4,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,RASTERVALU
Goce,-63.942,44.66,Tempestini,938618,0.0386303819046,-63.958337975,44.624994615,1
Goce,-61.584,45.644,Tempestini,914179,0.0451950713226,-61.625004735,45.624994575,1
Goce,-63.984,45.997,Tempestini,906103,0.0464119729405,-63.958337975,45.958327895,1
Goce,-65.207,47.076,Tempestini,880597,0.0343648695459,-65.208337925,47.041661185,1
Goce,-70.202,47.572,Tempestini,869134,0.030993735937,-70.208337725,47.541661165,1
Goce,-69.167,48.117,Tempestini,856141,0.0421037105933,-69.208337765,48.124994475,1
Goce,-69.717,48.15,Tempestini,856135,0.0264633887137,-69.708337745,48.124994475,1
Goce,-63.981,46.182,Tempestini,900103,0.0347379461925,-63.958337975,46.208327885,1
Goce,-61.987,47.218,Tempestini,876787,0.0302499202235,-61.958338055,47.208327845,1
Goce,-64.233,46.879,Tempestini,884458,0.0249851916206,-64.208337965,46.874994525,1
Goce,-64.709,46.659,Tempestini,890247,0.0340119091891,-64.708337945,46.624994535,1
Goce,-64.187,46.615,Tempestini,890253,0.02356267133,-64.208337965,46.624994535,1
Goce,-64.358,45.858,Tempestini,908119,0.0240410588563,-64.375004625,45.874994565,1
Goce,-52.844,47.18,Tempestini,876883,0.0419974058509,-52.875005085,47.208327845,1
Goce,-59.241,50.68,Tempestini,798361,0.0432348740733,-59.208338165,50.708327705,1
Goce,-58.96,50.825,Tempestini,796577,0.033380357242,-58.958338175,50.791661035,1
Goce,-64.882,47.447,Tempestini,871044,0.0133137296425,-64.875004605,47.458327835,1
Goce,-51.0961,69.2222,BOLD,440632,0.0320619569846,-51.125005155,69.208326965,1
Goce,-54.9356,69.3556,BOLD,437088,0.0298855244092,-54.958338335,69.374993625,1
Goce,-74.8531,62.2425,KimTrawl,544104,0.0405902867811,-74.875004205,62.208327245,1
