Sps,lon,lat,Field4,Field5,Field6,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,RASTERVALU
Mtru,10.2972,56.9267, , , ,659089,0.0321091572806,10.291659055,56.958327455,1
Mtru,1.88883,53.479, , , ,741574,0.0248760629503,1.874992725,53.458327595,1
Mtru,1.96478,52.29411, , , ,765701,0.00690297975615,1.958326055,52.291660975,1
Mtru,-5.4298,52.68437, , , ,757057,0.0372628149224,-5.458340315,52.708327625,1
Mtru,12.4417,56.7217, , , ,665176,0.0213362703273,12.458325635,56.708327465,1
Mtru,-6.0405,57.30193, , , ,650783,0.0103360716784,-6.041673625,57.291660775,1
Mtru,1.6121,55.21843, , , ,701580,0.0163793350569,1.624992735,55.208327525,1
Mtru,11.4462,56.8415, , , ,661121,0.0356214598763,11.458325675,56.874994125,1
Mtru,-6.74087,57.88168, , , ,636303,0.0332097142197,-6.708340265,57.874994085,1
Mtru,0.6891,51.42567, , , ,783032,0.037896792079,0.708326105,51.458327675,1
Mtru,-3.24413,53.96815, , , ,730630,0.0371130050406,-3.208340405,53.958327575,1
Mtru,1.07251,51.41343, , , ,784829,0.0492854699999,1.041659425,51.374994345,1
Mtru,-1.37315,55.1872, , , ,701544,0.0212089910221,-1.375007145,55.208327525,1
Mtru,-4.432212139,51.75629622, , , ,775962,0.0439698872201,-4.458340355,51.791660995,1
Mtru,3.785333,52.480046, , , ,762275,0.0226209999724,3.791659315,52.458327635,1
Mtru,1.9981,54.0002, , , ,728817,0.0574540977153,1.958326055,54.041660905,1
Mtru,11.126,55.4852, , , ,695586,0.0268913703355,11.124992355,55.458327515,1
Mtru,1.38254,52.98855, , , ,751908,0.0311504994041,1.374992745,52.958327615,1
Mtru,52.33333,80.475, , , ,56759,0.0448733712032,52.374990705,80.458326515,1
Mtru,-1.40352,55.52989, , , ,693433,0.0308469721734,-1.375007145,55.541660845,1
Mtru,31.70000076,79.18333435, , , ,92490,0.0263420108317,31.708324865,79.208326565,1
Mtru,4.04166667,52.06666667, , , ,770872,0.0250056860846,4.041659305,52.041660985,1
Mtru,9.4806,55.1261, , , ,703674,0.0223016769553,9.458325755,55.124994195,1
Mtru,-2.22538,56.22456, , , ,677139,0.023533826247,-2.208340445,56.208327485,1
Mtru,38.001,65.968, , , ,491176,0.0417927455758,38.041657945,65.958327095,1
Mtru,11.7202,54.9077, , , ,709659,0.0347946670953,11.708325665,54.874994205,1
Mtru,4.0,55.0, , , ,705615,0.0589162572269,4.041659305,55.041660865,1
Mtru,5.983333,53.858333, , , ,732551,0.0300491661354,5.958325895,53.874994245,1
Mtru,12.4745,56.2012, , , ,677293,0.0176751556027,12.458325635,56.208327485,1
Mtru,23.86333,76.11667, , , ,201874,0.014327486425,23.874991845,76.124993355,1
Mtru,58.14466667,70.19483333, , , ,417095,0.0238585363277,58.124990475,70.208326925,1
Mtru,35.65,64.96666667, , , ,503970,0.0263624575563,35.624991375,64.958327135,1
Mtru,-5.787,55.09546667, , , ,703540,0.0298951099135,-5.791673635,55.124994195,1
Mtru,3.06099452,51.4725017, , , ,783060,0.0239739854213,3.041659345,51.458327675,1
Mtru,11.7733,58.0042, , , ,632278,0.0417176235345,11.791658995,58.041660745,1
